hint_criterion	response_criterion	wordpairs_criterion	condition_criterion	Performance_Criterion	Key_Criterion	CriterionHintTime	CriterionKeyTime	CriterionRT
WAFFLE	MAPLE	"WAFFLE - MAPLE"	t	0	z	3001825.31	3004176.67	2351
FOREST	TENT	"FOREST - TENT"	b	0	x	3005491.96	3008173.95	2681
RUG	WOOL	"RUG - OOOO"	pb	0	z	3009491.96	3012207.56	2715
COLLEGE	CERTIFICATE	"COLLEGE - CERTIFICATE"	fb	0	z	3013525.29	3015238.00	1712
STEAM	TRAIN	"STEAM - TRAIN"	t	0	z	3013525.29	3015238.00	1712
HELM	OPERA	"HELM - OPERA"	b	0	z	3013525.29	3015238.00	1712
JOURNEY	PANTS	"JOURNEY - PANTS"	b	0	z	3013525.29	3015238.00	1712
AROMA	PLANT	"AROMA - OOOOO"	pb	0	z	3013525.29	3015238.00	1712
SURPRISE	SNAKE	"SURPRISE - SNAKE"	nt	0	z	3033675.29	3035903.79	2228
VITAMIN	LEMON	"VITAMIN - LEMON"	nt	0	z	3033675.29	3035903.79	2228
JAW	GUM	"JAW - GUM"	fb	0	z	3041491.97	3043485.63	1993
KNUCKLE	RING	"KNUCKLE - OOOO"	pb	0	z	3044791.97	3047687.43	2895
GLOW	GHOST	"GLOW - GHOST"	b	0	z	3048991.97	3050950.52	1958
DECISION	JUDGE	"DECISION - JUDGE"	nt	0	z	3048991.97	3050950.52	1958
VAULT	BRASS	"VAULT - BRASS"	b	0	z	3048991.97	3050950.52	1958
TAPE	RADIO	"TAPE - RADIO"	t	0	z	3048991.97	3050950.52	1958
TYPE	PAPER	"TYPE - OOOOO"	pb	0	z	3048991.97	3050950.52	1958
WOOD	TERMITE	"WOOD - TERMITE"	b	0	z	3069391.97	3071821.42	2429
HUG	ROSE	"HUG - ROSE"	b	0	z	3069391.97	3071821.42	2429
RELAX	BED	"RELAX - BED"	t	0	x	3077408.64	3077436.86	28
OFFICER	BLUE	"OFFICER - OOOO"	pb	0	z	3078741.97	3079198.20	456
BOND	WEDDING	"BOND - OOOOOOO"	fpb	0	z	3080508.64	3081182.75	674
PENCIL	STICKER	"PENCIL - OOOOOOO"	pb	0	z	3082491.97	3082573.08	81
DECAY	CARBON	"DECAY - CARBON"	b	0	z	3083875.31	3083982.11	106
ADVICE	LESSON	"ADVICE - LESSON"	b	0	z	3085291.96	3087228.67	1936
BAT	DIRT	"BAT - DIRT"	nt	0	x	3088541.96	3089389.39	847
INSIGHT	ART	"INSIGHT - ART"	t	0	z	3090691.96	3091149.95	457
DIET	CREAM	"DIET - CREAM"	b	0	x	3092458.63	3093957.67	1499
PET	MOUSE	"PET - MOUSE"	t	0	x	3092458.63	3093957.67	1499
SKULL	MUMMY	"SKULL - OOOOO"	pb	0	x	3099558.63	3100805.78	1247
SOCIETY	YOUTH	"SOCIETY - YOUTH"	b	0	z	3102108.63	3102181.54	72
SERVANT	QUEEN	"SERVANT - QUEEN"	t	0	z	3103491.96	3105723.63	2231
LOAN	POVERTY	"LOAN - POVERTY"	t	0	z	3103491.96	3105723.63	2231
PLANE	CLOUD	"PLANE - OOOOO"	pb	0	x	3111325.29	3112227.53	902
CRUMB	TOASTER	"CRUMB - OOOOOOO"	pb	0	z	3113541.96	3115540.25	1998
MIXTURE	JAR	"MIXTURE - JAR"	b	0	z	3116858.63	3118828.25	1969
ACE	SYMBOL	"ACE - SYMBOL"	nt	0	z	3120141.97	3122636.00	2494
BROOM	HOUSE	"BROOM - HOUSE"	nt	0	z	3123941.97	3126517.30	2575
NAIL	PICTURE	"NAIL - OOOOOOO"	pb	0	z	3127825.29	3130589.08	2763
LAWN	BEEF	"LAWN - BEEF"	t	0	z	3131891.97	3134229.20	2337
CANDLE	WINE	"CANDLE - WINE"	nt	0	z	3131891.97	3134229.20	2337
ANTLER	KNIFE	"ANTLER - KNIFE"	b	0	z	3139825.31	3141836.12	2010
NEEDLE	DOCTOR	"NEEDLE - DOCTOR"	t	0	z	3143141.97	3145684.74	2542
BRAKE	ANCHOR	"BRAKE - ANCHOR"	t	0	z	3143141.97	3145684.74	2542
TOLL	BRIDGE	"TOLL - OOOOOO"	fpb	0	z	3151275.31	3153731.60	2456
BOOTH	DIAL	"BOOTH - DIAL"	t	0	z	3151275.31	3153731.60	2456
LEAP	BALLET	"LEAP - BALLET"	b	0	z	3151275.31	3153731.60	2456
LINT	CURTAIN	"LINT - CURTAIN"	fnt	0	x	3163608.63	3163811.51	202
CROW	ASCENT	"CROW - ASCENT"	t	0	z	3165125.31	3165852.87	727
COAST	THUNDER	"COAST - THUNDER"	t	0	z	3167158.64	3170004.92	2846
MUSEUM	CLAY	"MUSEUM - OOOO"	pb	0	z	3167158.64	3170004.92	2846
CIGAR	VICE	"CIGAR - OOOO"	fpb	0	z	3175591.97	3177386.66	1794
