hint_criterion	response_criterion	wordpairs_criterion	condition_criterion	Performance_Criterion	Key_Criterion	CriterionHintTime	CriterionKeyTime	CriterionRT
MIXTURE	JAR	"MIXTURE - OOO"	pb	0	z	3925884.67	3927375.56	1490
SKULL	MUMMY	"SKULL - MUMMY"	t	0	z	3925884.67	3927375.56	1490
BAT	DIRT	"BAT - DIRT"	b	0	z	3932968.00	3934887.56	1919
PLUM	CORE	"PLUM - CORE"	b	0	z	3936201.32	3937838.59	1637
FOSSIL	DINOSAUR	"FOSSIL - DINOSAUR"	nt	0	z	3939151.32	3941214.88	2063
MUSEUM	CLAY	"MUSEUM - CLAY"	t	0	z	3942518.00	3944188.74	1670
DIET	CREAM	"DIET - OOOOO"	pb	0	z	3942518.00	3944188.74	1670
INSIGHT	ART	"INSIGHT - ART"	nt	0	z	3942518.00	3944188.74	1670
BOND	WEDDING	"BOND - WEDDING"	ft	0	z	3942518.00	3944188.74	1670
LIBERTY	EAGLE	"LIBERTY - EAGLE"	t	0	z	3942518.00	3944188.74	1670
CIGAR	VICE	"CIGAR - OOOO"	fpb	0	z	3962634.67	3965156.78	2522
AROMA	PLANT	"AROMA - PLANT"	t	0	z	3966468.01	3968612.49	2144
PICNIC	HILL	"PICNIC - HILL"	b	0	z	3969918.00	3972445.73	2527
VOLUME	TANK	"VOLUME - TANK"	b	0	z	3969918.00	3972445.73	2527
PUMP	OIL	"PUMP - OIL"	fnt	0	z	3969918.00	3972445.73	2527
WAFFLE	MAPLE	"WAFFLE - MAPLE"	nt	0	z	3969918.00	3972445.73	2527
CRUMB	TOASTER	"CRUMB - TOASTER"	t	0	z	3986601.32	3988317.65	1716
CRACK	LOBSTER	"CRACK - LOBSTER"	t	0	z	3986601.32	3988317.65	1716
OFFICER	BLUE	"OFFICER - BLUE"	t	0	z	3993917.99	3995795.65	1877
JAW	GUM	"JAW - GUM"	fnt	0	z	3993917.99	3995795.65	1877
CANDLE	WINE	"CANDLE - WINE"	b	0	z	4001384.66	4003635.85	2251
RUG	WOOL	"RUG - WOOL"	t	0	z	4004951.32	4007556.36	2605
RELAX	BED	"RELAX - BED"	nt	0	z	4008868.00	4011340.36	2472
CARTOON	HERO	"CARTOON - HERO"	fb	0	z	4012651.32	4014468.68	1817
BOOTH	DIAL	"BOOTH - DIAL"	nt	0	z	4015784.66	4018363.92	2579
