3464773.411	StudyPhase[3].LearningPhase_3.Word_3	flip time is later than desired time. Desired Time=3464742 Flip Time=3464792 Retrace Rate=16.641, prepareTime=55 flip request time 3464773
3468564.358	StudyPhase[3].LearningPhase_3.Word_3	LOADING RESOURCE SURFACE FROM DISK
3472347.806	StudyPhase[3].LearningPhase_3.Word_3	LOADING RESOURCE SURFACE FROM DISK
3476411.691	StudyPhase[3].LearningPhase_3.Word_3	LOADING RESOURCE SURFACE FROM DISK
3476413.894	StudyPhase[3].LearningPhase_3.Word_3	flip time is later than desired time. Desired Time=3476142 Flip Time=3476425 Retrace Rate=16.641, prepareTime=295 flip request time 3476413
3480234.977	StudyPhase[3].LearningPhase_3.Word_3	LOADING RESOURCE SURFACE FROM DISK
3480237.094	StudyPhase[3].LearningPhase_3.Word_3	flip time is later than desired time. Desired Time=3480208 Flip Time=3480258 Retrace Rate=16.641, prepareTime=52 flip request time 3480236
3484068.167	StudyPhase[3].LearningPhase_3.Word_3	LOADING RESOURCE SURFACE FROM DISK
3484070.313	StudyPhase[3].LearningPhase_3.Word_3	flip time is later than desired time. Desired Time=3484042 Flip Time=3484092 Retrace Rate=16.641, prepareTime=52 flip request time 3484070
3487864.521	StudyPhase[3].LearningPhase_3.Word_3	LOADING RESOURCE SURFACE FROM DISK
3496065.875	StudyPhase[3].TestFeedback_3[1].Hint_3[1]	LOADING RESOURCE SURFACE FROM DISK
3496068.003	StudyPhase[3].TestFeedback_3[1].Hint_3[1]	flip time is later than desired time. Desired Time=3496042 Flip Time=3496092 Retrace Rate=16.641, prepareTime=49 flip request time 3496067
3499141.218	StudyPhase[3].TestFeedback_3[1].Feedback_3[1]	LOADING RESOURCE SURFACE FROM DISK
3500930.833	StudyPhase[3].TestFeedback_3[1].Hint_3[1]	LOADING RESOURCE SURFACE FROM DISK
3503010.247	StudyPhase[3].TestFeedback_3[1].Feedback_3[1]	LOADING RESOURCE SURFACE FROM DISK
3504797.638	StudyPhase[3].TestFeedback_3[1].Hint_3[1]	LOADING RESOURCE SURFACE FROM DISK
3506273.632	StudyPhase[3].TestFeedback_3[1].Feedback_3[1]	LOADING RESOURCE SURFACE FROM DISK
3508064.433	StudyPhase[3].TestFeedback_3[1].Hint_3[1]	LOADING RESOURCE SURFACE FROM DISK
3510573.474	StudyPhase[3].TestFeedback_3[1].Feedback_3[1]	LOADING RESOURCE SURFACE FROM DISK
3512364.439	StudyPhase[3].TestFeedback_3[1].Hint_3[1]	LOADING RESOURCE SURFACE FROM DISK
3513940.478	StudyPhase[3].TestFeedback_3[1].FeedbackPB_3[1]	LOADING RESOURCE SURFACE FROM DISK
3515731.238	StudyPhase[3].TestFeedback_3[1].Hint_3[1]	LOADING RESOURCE SURFACE FROM DISK
3517473.676	StudyPhase[3].TestFeedback_3[1].FeedbackPB_3[1]	LOADING RESOURCE SURFACE FROM DISK
3519264.928	StudyPhase[3].TestFeedback_3[1].Hint_3[1]	LOADING RESOURCE SURFACE FROM DISK
3522112.693	StudyPhase[3].TestFeedback_3[1].Feedback_3[1]	LOADING RESOURCE SURFACE FROM DISK
3523917.401	StudyPhase[3].TestFeedback_3[1].Hint_3[1]	LOADING RESOURCE SURFACE FROM DISK
3523919.626	StudyPhase[3].TestFeedback_3[1].Hint_3[1]	flip time is later than desired time. Desired Time=3523908 Flip Time=3523942 Retrace Rate=16.641, prepareTime=34 flip request time 3523919
3525709.176	StudyPhase[3].TestFeedback_3[1].Feedback_3[1]	LOADING RESOURCE SURFACE FROM DISK
3527517.01	StudyPhase[3].TestFeedback_3[1].Hint_3[1]	LOADING RESOURCE SURFACE FROM DISK
